"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2001-02-26,2733.6005859375,2747.838088989258,2690.8880767822266,2740.719337463379,35665000
2001-02-27,2698.007568359375,2804.7888705371865,2698.007568359375,2733.6013357519787,38695000
2001-02-28,2662.414306640625,2690.8893259629845,2633.939287318265,2633.939287318265,28715000
2001-03-01,2662.414306640625,2662.414306640625,2662.414306640625,2662.414306640625,0
2001-03-02,2569.8701171875,2633.9389012725073,2548.5138558258313,2633.9389012725073,44500000
2001-03-05,2648.176513671875,2648.176513671875,2512.9201863606772,2512.9201863606772,24620000
2001-03-06,2705.127197265625,2740.7209761770146,2676.652174136513,2719.364708830181,25500000
2001-03-07,2847.501708984375,2854.620463256836,2776.3141662597654,2819.0266918945313,52640000
2001-03-08,2854.620361328125,2854.620361328125,2783.4328211453785,2811.907837218477,31360000
2001-03-09,2733.6005859375,2804.788101196289,2719.363082885742,2804.788101196289,30800000
2001-03-12,2612.582763671875,2676.651550791894,2598.345255422982,2633.9390260452146,38610000
2001-03-13,2591.226806640625,2598.345561603923,2520.039257007641,2541.395521897536,33815000
2001-03-14,2591.226806640625,2591.226806640625,2591.226806640625,2591.226806640625,0
2001-03-15,2790.551513671875,2797.670267533283,2676.6514518893496,2698.0077134735734,29370000
